protein,fold_change,pval,n healthy,n sick,p_adj
P475,0.055038346,1.12E-02,1006,48603,6.89E-02
P476,0.034762064,1.12E-02,1006,48603,6.90E-02
P477,-0.066608965,1.14E-02,1006,48603,6.92E-02
P478,0.025432492,1.14E-02,1006,48603,6.92E-02
P479,-0.052238918,1.13E-02,1006,48603,6.92E-02
P480,0.072051017,1.14E-02,1006,48603,6.92E-02
P481,0.025670772,1.14E-02,1006,48603,6.96E-02
P482,0.024330961,1.16E-02,1006,48603,7.02E-02
P483,0.025319468,1.17E-02,1006,48603,7.10E-02
P484,0.024231102,1.20E-02,1006,48603,7.23E-02
P485,-0.025229266,1.20E-02,1006,48603,7.23E-02
P486,0.043820453,1.21E-02,1006,48603,7.29E-02
P487,0.045013868,1.23E-02,1006,48603,7.34E-02
P488,0.03645601,1.22E-02,1006,48603,7.34E-02
P489,0.021207251,1.23E-02,1006,48603,7.35E-02
P490,-0.031747022,1.23E-02,1006,48603,7.35E-02
P491,0.058426038,1.23E-02,1006,48603,7.35E-02
P492,0.033500862,1.25E-02,1006,48603,7.39E-02
P493,0.071589048,1.25E-02,1006,48603,7.39E-02
P494,0.052515273,1.25E-02,1006,48603,7.39E-02
P495,0.024437118,1.29E-02,1006,48603,7.64E-02
P496,0.101216972,1.30E-02,1006,48603,7.69E-02
P497,-0.054370122,1.33E-02,1006,48603,7.81E-02
P498,0.061237465,1.37E-02,1006,48603,8.05E-02
P499,0.02379116,1.37E-02,1006,48603,8.05E-02
P500,0.045370253,1.39E-02,1006,48603,8.12E-02
P501,0.015657752,1.39E-02,1006,48603,8.12E-02
P502,0.037134046,1.41E-02,1006,48603,8.19E-02
P503,0.021526994,1.41E-02,1006,48603,8.20E-02
P504,0.041929912,1.41E-02,1006,48603,8.20E-02
P505,-0.068891317,1.42E-02,1006,48603,8.22E-02
P506,-0.031042229,1.46E-02,1006,48603,8.45E-02
P507,0.070794119,1.48E-02,1006,48603,8.53E-02
P508,0.078463726,1.49E-02,1006,48603,8.56E-02
P509,0.042818995,1.51E-02,1006,48603,8.67E-02
P510,0.030542821,1.52E-02,1006,48603,8.69E-02
P511,0.0243942,1.54E-02,1006,48603,8.79E-02
P512,0.023928087,1.56E-02,1006,48603,8.91E-02
P513,-0.070360595,1.58E-02,1006,48603,9.01E-02
P514,-0.055965203,1.59E-02,1006,48603,9.06E-02
P515,0.044801644,1.61E-02,1006,48603,9.15E-02
P516,-0.040844143,1.63E-02,1006,48603,9.22E-02
P517,0.03633275,1.64E-02,1006,48603,9.27E-02
P518,0.02677772,1.65E-02,1006,48603,9.27E-02
P519,-0.051325037,1.64E-02,1006,48603,9.27E-02
P520,0.028877276,1.67E-02,1006,48603,9.39E-02
P521,-0.063629548,1.68E-02,1006,48603,9.45E-02
P522,0.03120214,1.69E-02,1006,48603,9.47E-02
P523,0.048302768,1.70E-02,1006,48603,9.50E-02
P524,0.046438067,1.71E-02,1006,48603,9.52E-02
P525,0.02528946,1.71E-02,1006,48603,9.52E-02
P526,0.025203843,1.73E-02,1006,48603,9.62E-02
P527,-0.045808499,1.73E-02,1006,48603,9.62E-02
P528,-0.032348989,1.76E-02,1006,48603,9.73E-02
P529,0.066789878,1.78E-02,1006,48603,9.81E-02
P530,0.048043491,1.78E-02,1006,48603,9.81E-02
P531,-0.030668076,1.78E-02,1006,48603,9.81E-02
P532,-0.061164812,1.82E-02,1006,48603,1.00E-01
P533,0.049305612,1.83E-02,1006,48603,1.01E-01
P534,0.03779738,1.85E-02,1006,48603,1.01E-01
P535,-0.091969778,1.87E-02,1006,48603,1.02E-01
P536,0.031107754,1.89E-02,1006,48603,1.03E-01
P537,0.053169214,1.90E-02,1006,48603,1.03E-01
P538,0.02617363,1.90E-02,1006,48603,1.03E-01
P539,0.025632929,1.94E-02,1006,48603,1.05E-01
P540,-0.037510045,1.94E-02,1006,48603,1.05E-01
P541,0.03174999,1.96E-02,1006,48603,1.06E-01
P542,0.070036925,1.96E-02,1006,48603,1.06E-01
P543,0.053480408,1.98E-02,1006,48603,1.06E-01
P544,0.020917373,2.01E-02,1006,48603,1.08E-01
P545,0.072498669,2.05E-02,1006,48603,1.10E-01
P546,0.035311448,2.06E-02,1006,48603,1.10E-01
P547,-0.061761352,2.07E-02,1006,48603,1.10E-01
P548,0.059175934,2.08E-02,1006,48603,1.11E-01
P549,-0.026385576,2.09E-02,1006,48603,1.11E-01
P550,-0.019373888,2.09E-02,1006,48603,1.11E-01
P551,0.026383313,2.09E-02,1006,48603,1.11E-01
P552,0.072468954,2.12E-02,1006,48603,1.12E-01
P553,0.087159512,2.12E-02,1006,48603,1.12E-01
P554,-0.049040386,2.13E-02,1006,48603,1.12E-01
P555,0.027642094,2.13E-02,1006,48603,1.12E-01
P556,0.028235953,2.13E-02,1006,48603,1.12E-01
P557,0.027365594,2.20E-02,1006,48603,1.15E-01
P558,0.038406941,2.20E-02,1006,48603,1.15E-01
P559,0.02957651,2.20E-02,1006,48603,1.15E-01
P560,0.021123193,2.24E-02,1006,48603,1.17E-01
P561,-0.043791564,2.25E-02,1006,48603,1.17E-01
P562,0.046574149,2.25E-02,1006,48603,1.17E-01
P563,0.02426175,2.26E-02,1006,48603,1.17E-01
P564,0.055580865,2.28E-02,1006,48603,1.18E-01
P565,0.031591758,2.27E-02,1006,48603,1.18E-01
P566,0.041177379,2.28E-02,1006,48603,1.18E-01
P567,-0.053363181,2.27E-02,1006,48603,1.18E-01
P568,0.047525098,2.34E-02,1006,48603,1.20E-01
P569,0.037021729,2.35E-02,1006,48603,1.21E-01
P570,0.1313076,2.40E-02,1006,48603,1.23E-01
P571,0.031271169,2.43E-02,1006,48603,1.24E-01
P572,-0.051195567,2.46E-02,1006,48603,1.26E-01
P573,0.044319913,2.48E-02,1006,48603,1.26E-01
P574,0.036966861,2.48E-02,1006,48603,1.26E-01
P575,0.050678517,2.48E-02,1006,48603,1.26E-01
P576,-0.039606733,2.50E-02,1006,48603,1.27E-01
P577,0.053742929,2.52E-02,1006,48603,1.27E-01
P578,0.096403813,2.52E-02,1006,48603,1.27E-01
P579,0.018891457,2.53E-02,1006,48603,1.27E-01
P580,0.045159487,2.54E-02,1006,48603,1.28E-01
P581,0.043525637,2.54E-02,1006,48603,1.28E-01
P582,0.071323167,2.60E-02,1006,48603,1.30E-01
P583,0.019541639,2.61E-02,1006,48603,1.31E-01
P584,0.03082886,2.63E-02,1006,48603,1.32E-01
P585,0.073825423,2.65E-02,1006,48603,1.32E-01
P586,0.022970371,2.65E-02,1006,48603,1.32E-01
P587,0.042830494,2.67E-02,1006,48603,1.33E-01
P588,0.02377747,2.67E-02,1006,48603,1.33E-01
P589,0.028921952,2.70E-02,1006,48603,1.34E-01
P590,0.02879882,2.72E-02,1006,48603,1.35E-01
P591,0.092450453,2.72E-02,1006,48603,1.35E-01
P592,0.026373469,2.75E-02,1006,48603,1.36E-01
P593,0.03816587,2.76E-02,1006,48603,1.36E-01
P594,0.057553101,2.77E-02,1006,48603,1.36E-01
P595,0.024059695,2.78E-02,1006,48603,1.36E-01
P596,-0.054825257,2.79E-02,1006,48603,1.37E-01
P597,0.070296388,2.80E-02,1006,48603,1.37E-01
P598,0.023396586,2.81E-02,1006,48603,1.37E-01
P599,0.070269394,2.83E-02,1006,48603,1.38E-01
P600,0.017173052,2.83E-02,1006,48603,1.38E-01
P601,-0.03019779,2.83E-02,1006,48603,1.38E-01
P602,-0.042917185,2.88E-02,1006,48603,1.40E-01
P603,0.022934997,2.88E-02,1006,48603,1.40E-01
P604,0.024251242,2.89E-02,1006,48603,1.40E-01
P605,0.040432384,2.89E-02,1006,48603,1.40E-01
P606,0.028106106,2.95E-02,1006,48603,1.42E-01
P607,0.048115477,2.96E-02,1006,48603,1.42E-01
P608,0.024335081,2.96E-02,1006,48603,1.42E-01
P609,0.039503782,2.97E-02,1006,48603,1.43E-01
P610,0.021814229,2.99E-02,1006,48603,1.43E-01
P611,0.02556129,3.01E-02,1006,48603,1.44E-01
P612,-0.039886929,3.01E-02,1006,48603,1.44E-01
P613,0.038138309,3.06E-02,1006,48603,1.46E-01
P614,-0.019191316,3.06E-02,1006,48603,1.46E-01
P615,0.052528846,3.09E-02,1006,48603,1.47E-01
P616,0.137627211,3.10E-02,1006,48603,1.47E-01
P617,0.0337161,3.13E-02,1006,48603,1.48E-01
P618,0.044715178,3.14E-02,1006,48603,1.48E-01
P619,0.023369482,3.15E-02,1006,48603,1.49E-01
P620,-0.032823547,3.15E-02,1006,48603,1.49E-01
P621,0.033219369,3.16E-02,1006,48603,1.49E-01
P622,0.027974249,3.18E-02,1006,48603,1.49E-01
P623,0.041103942,3.19E-02,1006,48603,1.49E-01
P624,0.018216235,3.21E-02,1006,48603,1.50E-01
P625,0.044444184,3.22E-02,1006,48603,1.51E-01
P626,0.054697138,3.24E-02,1006,48603,1.51E-01
P627,-0.045922215,3.24E-02,1006,48603,1.51E-01
P628,-0.006854928,3.24E-02,1006,48603,1.51E-01
P629,0.023221132,3.24E-02,1006,48603,1.51E-01
P630,0.036639099,3.26E-02,1006,48603,1.51E-01
P631,0.022332898,3.26E-02,1006,48603,1.51E-01
P632,0.049220371,3.29E-02,1006,48603,1.52E-01
P633,0.029372671,3.30E-02,1006,48603,1.52E-01
P634,-0.044447057,3.32E-02,1006,48603,1.53E-01
P635,0.03270848,3.34E-02,1006,48603,1.54E-01
P636,0.038720226,3.35E-02,1006,48603,1.54E-01
P637,0.025055199,3.37E-02,1006,48603,1.55E-01
P638,0.027146785,3.39E-02,1006,48603,1.55E-01
P639,0.058378181,3.42E-02,1006,48603,1.56E-01
P640,0.064620713,3.45E-02,1006,48603,1.57E-01
P641,-0.043284977,3.46E-02,1006,48603,1.58E-01
P642,0.069507065,3.53E-02,1006,48603,1.60E-01
P643,0.020884397,3.52E-02,1006,48603,1.60E-01
P644,-0.025437091,3.53E-02,1006,48603,1.60E-01
P645,-0.034726476,3.53E-02,1006,48603,1.60E-01
P646,0.020839467,3.56E-02,1006,48603,1.61E-01
P647,-0.065606406,3.58E-02,1006,48603,1.62E-01
P648,0.0305378,3.61E-02,1006,48603,1.63E-01
P649,0.024443601,3.62E-02,1006,48603,1.63E-01
P650,0.041093024,3.63E-02,1006,48603,1.63E-01
P651,0.060518438,3.66E-02,1006,48603,1.64E-01
P652,0.037785326,3.68E-02,1006,48603,1.65E-01
P653,0.044094424,3.70E-02,1006,48603,1.66E-01
P654,-0.036084668,3.73E-02,1006,48603,1.67E-01
P655,0.022099963,3.75E-02,1006,48603,1.67E-01
P656,0.032271351,3.76E-02,1006,48603,1.67E-01
P657,0.034285922,3.78E-02,1006,48603,1.68E-01
P658,0.068262364,3.82E-02,1006,48603,1.70E-01
P659,0.068293953,3.82E-02,1006,48603,1.70E-01
P660,0.027301917,3.84E-02,1006,48603,1.70E-01
P661,0.047508383,3.90E-02,1006,48603,1.73E-01
P662,-0.044070573,3.91E-02,1006,48603,1.73E-01
P663,0.034429823,3.92E-02,1006,48603,1.73E-01
P664,-0.028213004,3.93E-02,1006,48603,1.73E-01
P665,0.068988262,3.99E-02,1006,48603,1.75E-01
P666,0.020262959,4.00E-02,1006,48603,1.75E-01
P667,0.027246053,4.02E-02,1006,48603,1.76E-01
P668,0.073641965,4.04E-02,1006,48603,1.77E-01
P669,0.03197959,4.05E-02,1006,48603,1.77E-01
P670,0.054224248,4.09E-02,1006,48603,1.78E-01
P671,0.032356971,4.12E-02,1006,48603,1.79E-01
P672,0.032363206,4.11E-02,1006,48603,1.79E-01
P673,-0.028412875,4.11E-02,1006,48603,1.79E-01
P674,0.044321596,4.14E-02,1006,48603,1.79E-01
P675,0.029932287,4.15E-02,1006,48603,1.80E-01
P676,0.021072651,4.17E-02,1006,48603,1.80E-01
P677,0.011610542,4.17E-02,1006,48603,1.80E-01
P678,0.029291605,4.16E-02,1006,48603,1.80E-01
P679,0.019452339,4.30E-02,1006,48603,1.85E-01
P680,0.020480046,4.31E-02,1006,48603,1.85E-01
P681,0.017311517,4.32E-02,1006,48603,1.85E-01
P682,-0.039354826,4.32E-02,1006,48603,1.85E-01
P683,-0.036452153,4.34E-02,1006,48603,1.85E-01
P684,0.05696012,4.34E-02,1006,48603,1.85E-01
P685,0.020378002,4.33E-02,1006,48603,1.85E-01
P686,0.026672401,4.37E-02,1006,48603,1.86E-01
P687,0.027938919,4.38E-02,1006,48603,1.86E-01
P688,0.017081133,4.36E-02,1006,48603,1.86E-01
P689,-0.03631297,4.37E-02,1006,48603,1.86E-01
P690,-0.175219896,4.41E-02,1006,48603,1.86E-01
P691,0.010937011,4.41E-02,1006,48603,1.86E-01
P692,-0.018346311,4.42E-02,1006,48603,1.87E-01
P693,0.033550484,4.45E-02,1006,48603,1.88E-01
P694,0.044192948,4.48E-02,1006,48603,1.89E-01
P695,0.034344428,4.49E-02,1006,48603,1.89E-01
P696,0.017855872,4.64E-02,1006,48603,1.95E-01
P697,0.069718364,4.66E-02,1006,48603,1.95E-01
P698,0.050132015,4.66E-02,1006,48603,1.95E-01
P699,0.041548302,4.70E-02,1006,48603,1.96E-01
P700,0.024862367,4.72E-02,1006,48603,1.97E-01
P701,0.038370904,4.83E-02,1006,48603,2.01E-01
P702,0.032730241,4.81E-02,1006,48603,2.01E-01
P703,0.044004058,4.83E-02,1006,48603,2.01E-01
P704,-0.034997972,4.90E-02,1006,48603,2.03E-01
P705,0.027224498,4.92E-02,1006,48603,2.04E-01
P706,0.05242519,4.96E-02,1006,48603,2.05E-01
P707,0.032278859,4.98E-02,1006,48603,2.06E-01
P708,0.02925579,5.02E-02,1006,48603,2.07E-01
P709,0.030613924,5.03E-02,1006,48603,2.07E-01
P710,0.036927708,5.02E-02,1006,48603,2.07E-01
P711,0.031475823,5.08E-02,1006,48603,2.08E-01
P712,-0.019286155,5.08E-02,1006,48603,2.08E-01
P713,0.026264713,5.06E-02,1006,48603,2.08E-01
P714,0.027943501,5.07E-02,1006,48603,2.08E-01
P715,0.031007283,5.06E-02,1006,48603,2.08E-01
P716,-0.048039509,5.09E-02,1006,48603,2.08E-01
P717,0.052620296,5.17E-02,1006,48603,2.11E-01
P718,0.060218608,5.17E-02,1006,48603,2.11E-01
P719,0.031986237,5.18E-02,1006,48603,2.11E-01
P720,0.056904583,5.19E-02,1006,48603,2.11E-01
P721,-0.042487453,5.21E-02,1006,48603,2.11E-01
P722,0.040003471,5.22E-02,1006,48603,2.11E-01
P723,-0.039525299,5.28E-02,1006,48603,2.13E-01
P724,-0.05362219,5.27E-02,1006,48603,2.13E-01
P725,0.050569386,5.29E-02,1006,48603,2.13E-01
P726,-0.037592125,5.31E-02,1006,48603,2.14E-01
P727,0.029083891,5.33E-02,1006,48603,2.14E-01
P728,-0.029131983,5.40E-02,1006,48603,2.17E-01
P729,0.040343362,5.44E-02,1006,48603,2.18E-01
P730,0.047372581,5.44E-02,1006,48603,2.18E-01
P731,-0.026117933,5.50E-02,1006,48603,2.20E-01
P732,0.030486714,5.52E-02,1006,48603,2.21E-01
P733,0.121739517,5.55E-02,1006,48603,2.21E-01
P734,0.034221479,5.55E-02,1006,48603,2.21E-01
P735,0.055095782,5.55E-02,1006,48603,2.21E-01
P736,0.038536747,5.56E-02,1006,48603,2.21E-01
P737,0.043346738,5.58E-02,1006,48603,2.21E-01
P738,0.049327478,5.59E-02,1006,48603,2.21E-01
P739,0.033435449,5.61E-02,1006,48603,2.22E-01
P740,-0.027175003,5.65E-02,1006,48603,2.23E-01
P741,-0.029693382,5.66E-02,1006,48603,2.23E-01
P742,0.019110364,5.78E-02,1006,48603,2.27E-01
P743,0.029711499,5.76E-02,1006,48603,2.27E-01
P744,0.023179733,5.76E-02,1006,48603,2.27E-01
P745,0.043018222,5.78E-02,1006,48603,2.27E-01
P746,0.029909971,5.81E-02,1006,48603,2.28E-01
P747,0.033045847,5.82E-02,1006,48603,2.28E-01
P748,0.053779644,5.84E-02,1006,48603,2.28E-01
P749,0.047512945,5.87E-02,1006,48603,2.29E-01
P750,-0.064036805,5.89E-02,1006,48603,2.30E-01
P751,0.039929305,5.91E-02,1006,48603,2.30E-01
P752,0.015184321,5.93E-02,1006,48603,2.30E-01
P753,-0.044493725,6.00E-02,1006,48603,2.32E-01
P754,0.060168368,6.00E-02,1006,48603,2.32E-01
P755,0.024549,6.00E-02,1006,48603,2.32E-01
P756,0.053680721,6.04E-02,1006,48603,2.33E-01
P757,0.029548944,6.03E-02,1006,48603,2.33E-01
P758,-0.027170215,6.07E-02,1006,48603,2.33E-01
P759,0.047005326,6.08E-02,1006,48603,2.33E-01
P760,0.020652236,6.07E-02,1006,48603,2.33E-01
P761,0.083029578,6.05E-02,1006,48603,2.33E-01
P762,0.040280757,6.08E-02,1006,48603,2.33E-01
P763,0.048106872,6.10E-02,1006,48603,2.34E-01
P764,0.035761115,6.10E-02,1006,48603,2.34E-01
P765,0.046341519,6.17E-02,1006,48603,2.36E-01
P766,0.034354545,6.17E-02,1006,48603,2.36E-01
P767,0.049111476,6.19E-02,1006,48603,2.36E-01
P768,-0.024144756,6.22E-02,1006,48603,2.37E-01
P769,0.054648579,6.25E-02,1006,48603,2.37E-01
P770,-0.020161359,6.25E-02,1006,48603,2.37E-01
P771,-0.018608694,6.27E-02,1006,48603,2.38E-01
P772,0.059063608,6.32E-02,1006,48603,2.39E-01
P773,-0.029436213,6.36E-02,1006,48603,2.40E-01
P774,0.045007177,6.37E-02,1006,48603,2.40E-01
P775,0.02104475,6.43E-02,1006,48603,2.42E-01
P776,0.055062202,6.48E-02,1006,48603,2.44E-01
P777,0.042224518,6.50E-02,1006,48603,2.44E-01
P778,0.021071813,6.51E-02,1006,48603,2.45E-01
P779,0.034384762,6.52E-02,1006,48603,2.45E-01
P780,0.060197408,6.54E-02,1006,48603,2.45E-01
P781,0.025088282,6.57E-02,1006,48603,2.46E-01
P782,-0.040400697,6.59E-02,1006,48603,2.46E-01
P783,-0.039050711,6.60E-02,1006,48603,2.46E-01
P784,0.050460993,6.63E-02,1006,48603,2.47E-01
P785,0.049605325,6.63E-02,1006,48603,2.47E-01
P786,-0.043005895,6.68E-02,1006,48603,2.48E-01
P787,0.030888365,6.70E-02,1006,48603,2.49E-01
P788,-0.069722563,6.72E-02,1006,48603,2.49E-01
P789,0.047067035,6.72E-02,1006,48603,2.49E-01
P790,0.038712322,6.76E-02,1006,48603,2.50E-01
P791,0.038059849,6.78E-02,1006,48603,2.51E-01
P792,0.024660282,6.82E-02,1006,48603,2.51E-01
P793,-0.04104695,6.81E-02,1006,48603,2.51E-01
P794,-0.017390075,6.80E-02,1006,48603,2.51E-01
P795,0.048618463,6.82E-02,1006,48603,2.51E-01
P796,0.018963089,6.84E-02,1006,48603,2.51E-01
P797,0.018685572,6.89E-02,1006,48603,2.53E-01
P798,0.018644144,6.91E-02,1006,48603,2.53E-01
P799,-0.049455477,6.94E-02,1006,48603,2.54E-01
P800,-0.042033796,6.94E-02,1006,48603,2.54E-01
P801,0.032281499,6.96E-02,1006,48603,2.54E-01
P802,0.051687788,6.98E-02,1006,48603,2.54E-01
P803,0.06055596,7.02E-02,1006,48603,2.56E-01
P804,0.067889843,7.04E-02,1006,48603,2.56E-01
P805,-0.029265031,7.04E-02,1006,48603,2.56E-01
P806,0.028506612,7.06E-02,1006,48603,2.56E-01
P807,0.02727313,7.07E-02,1006,48603,2.56E-01
P808,0.058779612,7.13E-02,1006,48603,2.58E-01
P809,0.033154704,7.20E-02,1006,48603,2.60E-01
P810,0.017245564,7.19E-02,1006,48603,2.60E-01
P811,0.048784479,7.30E-02,1006,48603,2.63E-01
P812,0.051732285,7.32E-02,1006,48603,2.63E-01
P813,-0.033830295,7.34E-02,1006,48603,2.64E-01
P814,-0.018849666,7.43E-02,1006,48603,2.67E-01
P815,0.03980495,7.46E-02,1006,48603,2.68E-01
P816,-0.024232981,7.49E-02,1006,48603,2.68E-01
P817,0.045213031,7.52E-02,1006,48603,2.69E-01
P818,0.020030006,7.60E-02,1006,48603,2.71E-01
P819,0.034456778,7.58E-02,1006,48603,2.71E-01
P820,0.016871377,7.60E-02,1006,48603,2.71E-01
P821,0.034482507,7.59E-02,1006,48603,2.71E-01
P822,0.014774806,7.61E-02,1006,48603,2.71E-01
P823,-0.023222914,7.66E-02,1006,48603,2.72E-01
P824,0.040273585,7.66E-02,1006,48603,2.72E-01
P825,0.037012206,7.68E-02,1006,48603,2.72E-01
P826,-0.031328106,7.71E-02,1006,48603,2.73E-01
P827,0.016053971,7.76E-02,1006,48603,2.73E-01
P828,0.04498156,7.75E-02,1006,48603,2.73E-01
P829,0.108482681,7.74E-02,1006,48603,2.73E-01
P830,0.051604641,7.76E-02,1006,48603,2.73E-01
P831,0.017898515,7.77E-02,1006,48603,2.73E-01
P832,-0.065035783,7.80E-02,1006,48603,2.74E-01
P833,0.023162303,7.82E-02,1006,48603,2.74E-01
P834,0.022824338,7.81E-02,1006,48603,2.74E-01
P835,-0.028422008,7.84E-02,1006,48603,2.74E-01
P836,-0.017931381,7.85E-02,1006,48603,2.74E-01
P837,0.058897452,7.86E-02,1006,48603,2.75E-01
P838,0.050083993,7.88E-02,1006,48603,2.75E-01
P839,-0.019003122,7.90E-02,1006,48603,2.75E-01
P840,0.032789645,7.97E-02,1006,48603,2.77E-01
P841,0.014431404,7.98E-02,1006,48603,2.77E-01
P842,0.020760463,8.02E-02,1006,48603,2.78E-01
P843,0.046120556,8.00E-02,1006,48603,2.78E-01
P844,0.021998624,8.01E-02,1006,48603,2.78E-01
P845,0.034338594,8.04E-02,1006,48603,2.78E-01
P846,-0.031124162,8.06E-02,1006,48603,2.79E-01
P847,0.027949768,8.17E-02,1006,48603,2.82E-01
P848,-0.095451701,8.17E-02,1006,48603,2.82E-01
P849,0.028711675,8.21E-02,1006,48603,2.83E-01
P850,0.046243323,8.22E-02,1006,48603,2.83E-01
P851,-0.012774873,8.25E-02,1006,48603,2.83E-01
P852,0.013258238,8.27E-02,1006,48603,2.84E-01
P853,0.022514285,8.31E-02,1006,48603,2.85E-01
P854,0.036100499,8.38E-02,1006,48603,2.86E-01
P855,0.025019772,8.37E-02,1006,48603,2.86E-01
P856,0.040465414,8.37E-02,1006,48603,2.86E-01
P857,0.027332784,8.38E-02,1006,48603,2.86E-01
P858,-0.037968847,8.43E-02,1006,48603,2.87E-01
P859,0.023553794,8.52E-02,1006,48603,2.90E-01
P860,0.037262929,8.52E-02,1006,48603,2.90E-01
P861,-0.021535448,8.53E-02,1006,48603,2.90E-01
P862,-0.034465711,8.56E-02,1006,48603,2.90E-01
P863,-0.02161163,8.56E-02,1006,48603,2.90E-01
P864,0.0254876,8.56E-02,1006,48603,2.90E-01
P865,0.031999626,8.60E-02,1006,48603,2.91E-01
P866,0.051020024,8.61E-02,1006,48603,2.91E-01
P867,0.056676956,8.67E-02,1006,48603,2.92E-01
P868,-0.034621498,8.71E-02,1006,48603,2.93E-01
P869,0.017520133,8.73E-02,1006,48603,2.94E-01
P870,0.032156281,8.79E-02,1006,48603,2.95E-01
P871,0.014329705,8.79E-02,1006,48603,2.95E-01
P872,0.023494313,8.80E-02,1006,48603,2.95E-01
P873,0.021017953,8.84E-02,1006,48603,2.95E-01
P874,0.021453792,8.83E-02,1006,48603,2.95E-01
P875,-0.034207971,8.85E-02,1006,48603,2.95E-01
P876,-0.023818988,8.84E-02,1006,48603,2.95E-01
P877,0.03725091,8.88E-02,1006,48603,2.96E-01
P878,0.021275783,8.91E-02,1006,48603,2.97E-01
P879,0.021379848,8.95E-02,1006,48603,2.98E-01
P880,0.029015645,8.97E-02,1006,48603,2.98E-01
P881,0.049194075,8.99E-02,1006,48603,2.98E-01
P882,0.01729497,8.98E-02,1006,48603,2.98E-01
P883,-0.041158831,9.02E-02,1006,48603,2.99E-01
P884,0.023936363,9.05E-02,1006,48603,2.99E-01
P885,0.016613728,9.06E-02,1006,48603,2.99E-01
P886,-0.05093314,9.08E-02,1006,48603,3.00E-01
P887,0.020652091,9.10E-02,1006,48603,3.00E-01
P888,-0.053653738,9.10E-02,1006,48603,3.00E-01
P889,0.029585553,9.12E-02,1006,48603,3.00E-01
P890,-0.012193429,9.17E-02,1006,48603,3.00E-01
P891,0.035097902,9.20E-02,1006,48603,3.00E-01
P892,0.046273493,9.17E-02,1006,48603,3.00E-01
P893,-0.013985278,9.22E-02,1006,48603,3.00E-01
P894,0.071485968,9.14E-02,1006,48603,3.00E-01
P895,0.065103662,9.22E-02,1006,48603,3.00E-01
P896,0.04295523,9.22E-02,1006,48603,3.00E-01
P897,-0.018560332,9.20E-02,1006,48603,3.00E-01
P898,0.055808739,9.15E-02,1006,48603,3.00E-01
P899,-0.021731021,9.23E-02,1006,48603,3.00E-01
P900,0.052193111,9.27E-02,1006,48603,3.01E-01
P901,0.018787054,9.32E-02,1006,48603,3.02E-01
P902,0.051147332,9.35E-02,1006,48603,3.03E-01
P903,0.021748186,9.40E-02,1006,48603,3.04E-01
P904,-0.048100328,9.40E-02,1006,48603,3.04E-01
P905,0.069569355,9.49E-02,1006,48603,3.06E-01
P906,0.042020644,9.49E-02,1006,48603,3.06E-01
P907,-0.041432708,9.54E-02,1006,48603,3.07E-01
P908,0.024915168,9.53E-02,1006,48603,3.07E-01
P909,0.055439912,9.57E-02,1006,48603,3.08E-01
P910,-0.02955232,9.62E-02,1006,48603,3.09E-01
P911,-0.027363028,9.67E-02,1006,48603,3.10E-01
P912,0.030993313,9.69E-02,1006,48603,3.10E-01
P913,0.018693052,9.70E-02,1006,48603,3.10E-01
P914,-0.025691655,9.79E-02,1006,48603,3.13E-01
P915,0.01936862,9.80E-02,1006,48603,3.13E-01
P916,0.024582542,9.82E-02,1006,48603,3.13E-01
P917,0.055958883,9.81E-02,1006,48603,3.13E-01
P918,0.023369527,9.86E-02,1006,48603,3.14E-01
P919,0.031533389,9.90E-02,1006,48603,3.15E-01
P920,0.023857055,9.91E-02,1006,48603,3.15E-01
P921,0.035218548,9.94E-02,1006,48603,3.16E-01
P922,0.054477783,1.00E-01,1006,48603,3.17E-01
P923,0.022907462,1.00E-01,1006,48603,3.17E-01
P924,-0.021404633,1.01E-01,1006,48603,3.19E-01
P925,-0.029100084,1.01E-01,1006,48603,3.19E-01
P926,0.027069652,1.01E-01,1006,48603,3.19E-01
P927,-0.047262393,1.01E-01,1006,48603,3.19E-01
P928,0.029310143,1.02E-01,1006,48603,3.21E-01
P929,-0.031248111,1.02E-01,1006,48603,3.22E-01
P930,0.034417112,1.03E-01,1006,48603,3.22E-01
P931,-0.016819198,1.03E-01,1006,48603,3.22E-01
P932,0.019759671,1.03E-01,1006,48603,3.23E-01
P933,0.022820946,1.03E-01,1006,48603,3.23E-01
P934,0.026437623,1.03E-01,1006,48603,3.23E-01
P935,0.036550925,1.03E-01,1006,48603,3.23E-01
P936,-0.01704871,1.04E-01,1006,48603,3.24E-01
P937,0.039850955,1.04E-01,1006,48603,3.24E-01
P938,0.034716841,1.04E-01,1006,48603,3.25E-01
P939,0.013490765,1.04E-01,1006,48603,3.25E-01
P940,0.070997326,1.05E-01,1006,48603,3.26E-01
P941,-0.022997485,1.05E-01,1006,48603,3.28E-01
P942,-0.015615462,1.06E-01,1006,48603,3.28E-01
P943,-0.051240103,1.06E-01,1006,48603,3.28E-01
P944,0.022708043,1.06E-01,1006,48603,3.28E-01
P945,-0.04476593,1.06E-01,1006,48603,3.28E-01
P946,0.024207716,1.06E-01,1006,48603,3.28E-01
P947,-0.010504348,1.06E-01,1006,48603,3.28E-01
P948,0.040589638,1.06E-01,1006,48603,3.28E-01
P949,0.06060285,1.07E-01,1006,48603,3.30E-01
P950,0.026915483,1.07E-01,1006,48603,3.30E-01
P951,0.030607898,1.08E-01,1006,48603,3.31E-01
